 -422.57 -587.46 -683.70 -841.30 -595.51 -546.17 -549.91 -943.54-1023.99 -904.93
 1950.86 1996.10 1999.52 1989.21 1960.01 1943.25 1955.11 1993.31 1987.22 1912.99
 1829.23 1660.59 1437.48 1285.57 1225.36 1323.90 1421.86 1431.00 1415.00 1390.10
 1251.05 1059.15  959.89  941.21  823.35  754.80  728.23  711.95  742.14  795.77
  882.82  777.14  767.15  828.27  960.42 1039.38 1111.43 1200.72 1295.20 1380.78
 1475.17 1623.40 1858.90 2120.36 2184.90 2108.80 2079.85 2158.29 2379.39 2618.34
 2866.59 3002.14 3023.42 3068.97 3128.36 3180.42 3221.40 3253.22 3276.13 3289.23
 3290.93 3283.56 3269.63 3252.90 3236.04 3220.15 3203.50 3184.76 3165.10 3143.95
 3116.31 3080.39 3041.59 3012.95 2995.66 2989.47 2986.44 2986.33 2989.00 2993.27
 2998.54 3002.02 3006.38 3009.08 3010.57 3011.06 3010.15 3007.06 3003.96 3000.00
 2997.78 2994.68 2990.87 2988.49 2987.19 2987.00 2988.13 2990.81 2993.14 2997.12
 3001.22 3006.48 3011.93 3017.38 3024.31 3030.53 3036.79 3043.79 3049.79 3054.79
 3059.46 3062.26 3063.94 3063.38 3061.72 3059.04 3054.34 3050.14 3045.78 3041.15
 3037.23 3034.43 3033.00 3032.28 3032.14 3033.86 3034.70 3035.00 3032.61 3028.27
 3021.84 3016.17 3013.23 3011.69 3006.08 2995.99 2984.78 2978.37 2978.66 2974.18
 2955.84 2925.98 2866.53 2724.52 2488.84 2347.41 2227.82 2119.90 1982.82 1879.51
 1763.83 1619.77 1596.91 1603.59 1627.79 1573.77 1499.27 1418.20 1352.88 1309.95
 1282.90 1268.98 1250.79 1219.20 1213.63 1209.89 1236.63 1289.57 1396.16 1595.58
 1820.82 2010.64 2071.55 2085.69 2083.99 2075.93 2067.13 2056.27 2036.31 2003.65
 1992.73 1979.66 1957.44 1936.28 1914.42 1855.69 1763.19 1662.35 1518.59 1335.99
 1212.08 1171.52 1069.22  956.59  884.03  830.61  788.04  715.68  639.14  593.30
  541.99  468.25  408.90  399.92  398.85  400.00  400.00  400.00  400.01  398.59
  385.64  360.50  336.66  315.69  309.68  336.22  375.47  386.68  372.06  452.43
  557.46  596.22  611.18  634.50  616.39  662.33  711.73  800.43  937.63 1054.66
  956.88  927.88 1022.87 1097.40 1055.98 1023.42 1004.47  938.15  733.39  637.45
  877.65  898.38  872.27  977.48 1241.68 1497.38 1639.80 1754.09 1938.64 2103.27
 2239.64 2368.10 2413.93 2482.37 2585.57 2636.66 2657.56 2653.68 2640.24 2631.10
 2630.00 2629.15 2625.49 2619.94 2615.39 2612.95 2614.15 2616.52 2618.54 2620.66
 2622.39 2619.37 2611.93 2606.43 2602.40 2600.00 2597.26 2586.08 2572.06 2557.60
 2546.10 2518.43 2505.07 2479.40 2452.73 2429.28 2398.34 2395.15 2369.96 2374.17
 2396.05 2536.88 2431.94 2413.44 2404.64 2443.17 2428.64 2373.55 2375.18 2396.18
 2418.20 2435.80 2452.80 2463.92 2474.16 2487.19 2502.97 2512.18 2516.46 2532.58
 2540.72 2528.92 2518.02 2527.32 2532.51 2548.01 2541.31 2514.33 2499.23 2509.08
 2482.73 2378.67 2320.18 2309.49 2285.04 2225.00 2162.98 2101.57 2072.76 2094.55
 2192.13 2194.17 2164.28 2120.63 2001.40 1885.52 1666.84 1475.36 1469.81 1347.25
