  445.31  444.49  443.67  442.85  442.04  441.22  440.12  438.68  437.10  435.51
  433.93  432.35  430.77  429.35  427.73  426.12  424.50  422.88  421.27  419.96
  418.78  417.61  416.43  415.26  414.08  412.75  411.40  410.02  408.61  407.21
  405.86  404.51  403.17  401.82  400.42  398.81  397.19  395.55  393.90  392.25
  390.61  389.08  387.61  386.14  384.68  383.17  381.66  379.68  377.03  374.50
  372.19  369.89  367.58  365.29  362.94  360.45  358.21  356.15  354.09  352.03
  350.21  348.85  347.57  346.21  344.84  343.47  342.11  340.71  338.25  336.00
  333.75  331.49  329.79  328.48  327.21  325.94  324.62  323.31  322.01  320.85
  319.19  317.48  315.86  314.35  312.85  311.31  309.48  307.41  305.34  303.27
  301.25  299.95  298.87  297.79  296.71  295.72  294.85  293.98  293.11  292.24
  291.31  290.28  288.71  287.15  285.59  284.04  282.70  281.35  280.38  279.73
  279.09  278.44  277.80  277.20  276.68  276.16  275.55  274.94  274.41  274.14
  273.86  273.59  273.26  272.94  272.92  272.89  272.86  272.83  272.75  272.94
  273.24  273.55  273.82  273.96  274.21  274.49  274.77  274.96  275.10  275.72
  276.34  276.93  277.38  277.99  278.65  279.32  279.98  280.65  280.77  280.77
  280.77  280.77  280.77  280.77  280.77  280.77  280.77  280.77  281.07  281.61
  282.16  282.70  283.25  283.79  284.34  284.88  285.43  285.97  286.52  287.06
  287.61  288.15  288.70  289.24  289.78  290.17  290.55  291.12  292.15  293.18
  294.21  295.24  296.22  297.10  297.97  298.89  299.72  300.29  300.86  301.56
  302.25  302.94  303.63  304.42  305.30  306.05  306.62  307.19  307.77  308.34
  308.91  309.48  310.05  310.62  311.08  311.51  311.94  312.31  312.47  312.61
  312.75  312.91  313.06  313.20  313.35  313.49  313.65  313.80  313.95  314.10
  314.24  314.34  314.45  314.60  314.74  314.88  314.98  315.08  315.13  315.17
  315.21  315.26  315.31  315.41  315.52  315.59  315.63  315.68  315.79  315.90
  316.00  316.09  316.20  316.35  316.67  316.99  317.32  317.43  317.59  317.96
  318.32  318.69  319.04  319.22  319.64  320.06  320.48  320.96  321.55  322.13
  322.69  323.38  324.19  324.99  325.80  326.61  327.43  328.23  329.04  329.87
  330.69  331.29  331.95  332.76  333.65  334.54  335.41  336.26  337.12  338.00
  338.93  339.87  340.80  341.62  342.34  343.06  343.58  343.97  344.36  344.85
  345.52  346.08  346.37  346.75  347.16  347.49  347.76  348.03  348.30  348.68
  349.27  349.87  350.56  351.30  352.07  352.56  352.50  352.44  352.32  352.26
  352.20  352.15  352.09  351.82  351.46  351.09  350.72  350.33  349.94  349.55
  349.23  348.96  348.61  348.26  347.91  347.63  347.28  346.94  346.59  346.30
  346.36  346.36  346.36  346.45  346.55  346.63  346.71  346.92  347.33  347.80
  348.27  348.82  349.47  350.12  350.90  352.19  353.48  354.77  356.06  357.53
  359.05  360.57  362.25  363.95  365.74  367.66  369.58  371.75  374.06  376.37
  378.68  380.91  382.74  384.56  386.39  388.21  390.02  391.55  392.87  394.20
  395.47  396.74  398.01  399.28  400.54  401.99  403.48  404.86  406.17  407.35
  408.70  409.57  410.32  411.10  411.89  412.63  412.97  413.17  413.56  413.94
  414.32  414.59  414.62  414.64  414.58  414.38  414.31  414.33  414.36  414.31
  413.98  413.50  413.33  413.17  413.01  412.74  412.11  411.49  410.86  409.93
  408.95  407.56  406.10  404.75  402.78  400.72  397.88  395.04  391.27  386.89
  382.03  377.70  373.52  369.72  366.73  363.50  360.32  357.41  354.36  351.24
  347.55  343.84  340.10  335.97  332.21  326.73  319.74  313.05  308.09  303.13
  299.72  297.63  295.53  293.44  291.34  289.26  287.35  285.52  283.69  281.55
  279.50  277.69  275.89  274.09  272.31  270.77  270.77  270.77  270.77  270.77
  270.77  269.99  268.78  267.56  266.35  265.13  263.92  262.70  261.38  259.61
  257.58  255.63  253.68  251.73  249.98  248.43  246.88  245.33  243.77  242.22
  240.77  239.20  237.62  235.91  233.89  231.87  229.19  225.69  222.28  219.48
  217.12  214.76  212.55  210.36  207.93  205.49  203.05  200.64  198.22  195.85
  193.63  191.40  188.66  185.58  182.41  179.19  175.93  172.66  169.36  166.55
  445.68  444.86  444.04  443.22  442.40  441.59  440.74  439.12  437.50  435.88
  434.26  432.64  431.02  429.36  427.71  426.09  424.48  422.86  421.24  419.94
