 2101.06 2105.46 2109.87 2113.72 2117.45 2121.17 2123.83 2126.20 2128.58 2131.15
 2133.86 2136.56 2139.57 2142.62 2145.67 2146.75 2147.76 2148.77 2152.80 2156.86
 2160.82 2163.87 2166.91 2169.65 2169.00 2168.31 2167.96 2169.65 2171.34 2173.74
 2178.82 2183.90 2188.73 2191.44 2194.16 2196.38 2197.40 2198.42 2200.39 2205.80
 2211.22 2215.58 2218.28 2220.98 2223.88 2227.26 2230.64 2234.35 2238.41 2242.46
 2246.66 2251.39 2256.12 2261.05 2266.12 2271.19 2275.14 2278.85 2282.52 2284.84
 2286.85 2289.00 2291.05 2292.39 2293.73 2295.08 2296.42 2297.94 2299.97 2301.99
 2304.13 2307.25 2310.30 2313.34 2316.70 2320.09 2323.96 2328.03 2332.09 2335.94
 2338.65 2341.36 2343.33 2347.35 2351.07 2354.88 2359.08 2363.14 2366.94 2369.65
 2372.35 2374.98 2377.34 2379.71 2381.57 2383.59 2385.62 2388.21 2391.45 2394.49
 2396.22 2395.87 2395.59 2397.71 2401.33 2404.73 2407.13 2408.49 2409.93 2413.27
 2418.59 2424.01 2427.24 2428.65 2430.01 2430.29 2429.95 2429.77 2431.88 2434.94
 2186.83 2193.27 2199.71 2204.10 2209.01 2214.43 2219.93 2225.69 2231.46 2236.56
 2241.91 2247.34 2252.11 2256.08 2260.14 2262.97 2263.64 2264.32 2265.16 2264.24
 2263.22 2263.95 2264.64 2265.32 2265.47 2265.13 2264.81 2260.76 2253.64 2246.76
 2226.48 2196.65 2167.43 2119.10 2055.71 1992.32 1925.68 1857.54 1789.41 1723.56
 1658.82 1594.09 1530.46 1467.07 1404.05 1353.34 1305.89 1258.43 1236.27 1216.29
 1191.23 1183.96 1182.60 1180.95 1166.36 1151.77 1135.67 1126.16 1116.66 1110.44
 1110.90 1109.53 1109.40 1115.16 1120.91 1125.99 1133.95 1143.09 1153.15 1165.68
 1178.21 1190.43 1213.19 1237.23 1262.53 1290.53 1318.63 1343.86 1365.19 1386.58
 1413.13 1427.98 1442.21 1458.93 1477.91 1497.25 1517.98 1540.02 1562.05 1576.03
 1585.18 1594.80 1600.95 1604.68 1608.40 1610.65 1612.35 1613.92 1614.61 1614.61
 1614.61 1614.52 1614.18 1613.84 1614.10 1614.44 1614.95 1616.74 1617.76 1618.78
 1621.13 1623.50 1626.98 1632.41 1637.84 1643.25 1648.34 1653.44 1658.35 1660.39
 1662.43 1666.11 1670.19 1674.27 1679.77 1688.05 1696.88 1704.95 1711.50 1718.29
 1724.19 1727.35 1730.08 1732.81 1734.32 1735.36 1737.56 1740.54 1743.28 1746.82
 1751.26 1755.97 1762.48 1771.63 1781.15 1790.86 1800.71 1809.57 1816.36 1821.90
